id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.567,4.1095,4.1216,43326,39218,Pipistrellus nathusii,0.536
1,0.453,4.2215,4.2357,42160,40078,Pipistrellus nathusii,0.423
2,0.665,4.3275,4.3401,43280,39218,Pipistrellus nathusii,0.653
3,0.416,4.4375,4.4538,41095,38359,Pipistrellus nathusii,0.406
4,0.472,4.6235,4.6429,42885,39218,Pipistrellus nathusii,0.202
5,0.63,4.8265,4.8382,41982,38359,Pipistrellus nathusii,0.62
6,0.604,5.0225,5.0358,42203,39218,Pipistrellus nathusii,0.568
7,0.544,5.2235,5.2403,41767,38359,Pipistrellus nathusii,0.494
8,0.624,5.3345,5.3485,43382,39218,Pipistrellus nathusii,0.602
9,0.715,5.5345,5.5488,42584,38359,Pipistrellus nathusii,0.705
10,0.55,5.7295,5.7443,41513,38359,Pipistrellus nathusii,0.536
11,0.67,5.8315,5.8447,43125,39218,Pipistrellus nathusii,0.633
12,0.732,6.0285,6.0416,43101,39218,Pipistrellus nathusii,0.725
13,0.676,6.1455,6.1606,42462,38359,Pipistrellus nathusii,0.665
14,0.762,6.3475,6.3604,43307,38359,Pipistrellus nathusii,0.758
15,0.725,6.5505,6.5621,42703,38359,Pipistrellus nathusii,0.714
16,0.684,6.6585,6.6699,42572,38359,Pipistrellus nathusii,0.667
17,0.658,6.8575,6.8712,42710,38359,Pipistrellus nathusii,0.654
18,0.672,7.0575,7.072,41690,37500,Pipistrellus nathusii,0.66
19,0.598,7.2585,7.2684,42637,38359,Pipistrellus nathusii,0.594
20,0.711,7.4565,7.4681,43950,38359,Pipistrellus nathusii,0.704
21,0.775,7.5665,7.5784,44012,38359,Pipistrellus nathusii,0.77
22,0.747,7.7635,7.7746,42965,37500,Pipistrellus nathusii,0.739
23,0.552,7.9615,7.9786,42712,37500,Pipistrellus nathusii,0.546
24,0.678,8.2615,8.2738,40311,36640,Pipistrellus nathusii,0.671
25,0.73,8.3735,8.3871,40493,36640,Pipistrellus nathusii,0.722
26,0.707,8.4845,8.497,41369,37500,Pipistrellus nathusii,0.682
27,0.684,8.6865,8.6987,40336,36640,Pipistrellus nathusii,0.679
28,0.631,8.8015,8.8147,41049,36640,Pipistrellus nathusii,0.624
29,0.748,9.1115,9.1251,41174,37500,Pipistrellus nathusii,0.72
30,0.643,9.2345,9.2452,40775,36640,Pipistrellus nathusii,0.636
31,0.716,9.4305,9.4439,41330,37500,Pipistrellus nathusii,0.685
32,0.763,9.5455,9.5575,42620,37500,Pipistrellus nathusii,0.744
33,0.636,9.7475,9.7596,40614,36640,Pipistrellus nathusii,0.624
34,0.719,9.9505,9.9624,39980,36640,Pipistrellus nathusii,0.71
