id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.464,0.1905,0.1945,52733,37500,Myotis daubentonii,0.432
1,0.5,0.3605,0.3653,55591,38359,Myotis daubentonii,0.471
2,0.479,0.4505,0.4557,54591,40937,Myotis daubentonii,0.446
3,0.469,0.6215,0.6259,56355,37500,Myotis daubentonii,0.438
4,0.639,0.7435,0.7481,56546,36640,Myotis daubentonii,0.597
5,0.578,0.9435,0.949,59045,36640,Myotis daubentonii,0.555
6,0.572,1.1575,1.1622,63337,28906,Myotis daubentonii,0.545
7,0.612,1.3445,1.3493,62898,28046,Myotis daubentonii,0.589
8,0.695,1.5485,1.5536,62467,30625,Myotis daubentonii,0.68
9,0.535,1.7325,1.7369,57371,28046,Myotis daubentonii,0.507
10,0.409,1.7605,1.7646,56980,31484,Myotis daubentonii,0.389
11,0.535,1.9795,1.9839,54863,37500,Myotis daubentonii,0.493
12,0.476,2.1785,2.184,59708,38359,Myotis daubentonii,0.302
13,0.598,2.7735,2.7793,70789,28046,Myotis daubentonii,0.286
14,0.636,2.8825,2.8885,65154,28046,Myotis daubentonii,0.369
15,0.633,2.9805,2.9861,64230,28046,Myotis daubentonii,0.487
16,0.469,3.2925,3.2969,63514,37500,Myotis daubentonii,0.258
17,0.402,3.3785,3.3834,66437,36640,Myotis daubentonii,0.198
18,0.452,3.5725,3.5778,68513,37500,Myotis daubentonii,0.239
19,0.499,4.7455,4.7517,56001,40078,Pipistrellus nathusii,0.204
20,0.465,4.9455,4.9497,58781,32343,Myotis daubentonii,0.303
21,0.416,5.0575,5.0616,48050,37500,Myotis daubentonii,0.27
