id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.66,0.1225,0.1313,34504,26328,Nyctalus leisleri,0.381
1,0.692,0.2615,0.2709,34775,26328,Nyctalus leisleri,0.36
2,0.467,0.3955,0.407,32806,26328,Eptesicus serotinus,0.229
3,0.666,0.7845,0.7931,33558,26328,Nyctalus leisleri,0.408
4,0.694,0.9235,0.9336,36972,25468,Eptesicus serotinus,0.451
5,0.507,1.0655,1.0746,33255,26328,Eptesicus serotinus,0.283
6,0.705,1.3125,1.3218,36506,26328,Eptesicus serotinus,0.346
7,0.699,1.4365,1.4454,36985,25468,Eptesicus serotinus,0.473
8,0.657,1.7055,1.7152,36510,25468,Eptesicus serotinus,0.407
9,0.704,1.8465,1.8567,36686,25468,Eptesicus serotinus,0.458
10,0.595,2.1015,2.1108,35959,26328,Eptesicus serotinus,0.408
11,0.771,2.2495,2.2593,40045,25468,Eptesicus serotinus,0.641
12,0.717,2.3915,2.3998,37096,27187,Eptesicus serotinus,0.372
13,0.73,2.5305,2.5402,40349,25468,Eptesicus serotinus,0.628
14,0.746,2.7825,2.7922,38145,25468,Eptesicus serotinus,0.513
15,0.646,2.9135,2.9218,36176,26328,Eptesicus serotinus,0.448
16,0.734,3.0165,3.0251,37022,25468,Eptesicus serotinus,0.563
17,0.772,3.1795,3.1897,41662,25468,Eptesicus serotinus,0.703
18,0.773,3.3185,3.3279,40514,25468,Eptesicus serotinus,0.662
19,0.785,3.5795,3.5894,41280,25468,Eptesicus serotinus,0.687
20,0.759,3.8455,3.8565,41850,24609,Eptesicus serotinus,0.649
21,0.792,3.9885,4.0015,44802,24609,Eptesicus serotinus,0.72
22,0.757,4.2505,4.2618,43132,25468,Eptesicus serotinus,0.684
23,0.789,4.5235,4.536,44251,24609,Eptesicus serotinus,0.719
24,0.754,4.6485,4.6609,44528,25468,Eptesicus serotinus,0.679
25,0.724,4.7695,4.7802,40762,25468,Eptesicus serotinus,0.662
26,0.788,4.9295,4.9419,47406,24609,Eptesicus serotinus,0.725
27,0.805,5.0735,5.0875,46559,24609,Eptesicus serotinus,0.719
28,0.769,5.2125,5.2225,45896,26328,Eptesicus serotinus,0.704
29,0.786,5.3615,5.3737,44793,25468,Eptesicus serotinus,0.709
30,0.827,5.6155,5.6279,46577,24609,Eptesicus serotinus,0.739
31,0.784,5.7025,5.7148,48318,24609,Eptesicus serotinus,0.708
32,0.811,5.7885,5.8011,48054,24609,Eptesicus serotinus,0.736
33,0.775,5.8885,5.9,45808,25468,Eptesicus serotinus,0.705
34,0.792,5.9735,5.9837,47909,25468,Eptesicus serotinus,0.714
35,0.756,6.0505,6.0607,48009,25468,Eptesicus serotinus,0.669
36,0.755,6.1395,6.1489,48373,25468,Eptesicus serotinus,0.628
37,0.715,6.2135,6.2206,45272,26328,Eptesicus serotinus,0.614
38,0.708,6.2875,6.2957,47427,26328,Eptesicus serotinus,0.647
39,0.688,6.3735,6.3797,43276,28046,Eptesicus serotinus,0.59
40,0.513,6.4135,6.4213,35905,27187,Eptesicus serotinus,0.366
41,0.704,6.4455,6.4518,44256,26328,Eptesicus serotinus,0.62
