id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.635,0.1005,0.1056,55930,33203,Myotis daubentonii,0.622
1,0.598,0.1925,0.1975,52756,29765,Myotis daubentonii,0.585
2,0.526,0.3025,0.3072,56873,33203,Myotis daubentonii,0.511
3,0.489,0.3915,0.3965,56688,34921,Myotis daubentonii,0.478
4,0.569,0.5815,0.5865,56978,33203,Myotis daubentonii,0.556
5,0.611,0.6865,0.6914,57077,30625,Myotis daubentonii,0.6
6,0.436,0.7845,0.7885,55336,33203,Myotis daubentonii,0.424
7,0.664,0.8765,0.8819,61975,30625,Myotis daubentonii,0.652
8,0.67,1.0525,1.058,59238,30625,Myotis daubentonii,0.66
9,0.594,1.1745,1.1799,62493,31484,Myotis daubentonii,0.583
10,0.626,1.2685,1.2749,61475,28906,Myotis daubentonii,0.62
11,0.664,1.4795,1.4861,68787,29765,Myotis daubentonii,0.651
12,0.742,1.6765,1.6825,63285,28906,Myotis daubentonii,0.728
13,0.714,1.7875,1.7932,63202,30625,Myotis daubentonii,0.701
14,0.671,1.8895,1.8954,63831,29765,Myotis daubentonii,0.657
15,0.534,2.0715,2.0765,63977,31484,Myotis daubentonii,0.303
16,0.43,2.1735,2.1783,58921,34921,Myotis daubentonii,0.28
17,0.543,2.2715,2.2765,61529,29765,Myotis daubentonii,0.357
18,0.46,2.4575,2.462,57578,34921,Myotis daubentonii,0.271
19,0.438,2.5695,2.575,54914,36640,Myotis daubentonii,0.274
20,0.438,2.6755,2.6799,57118,34921,Myotis daubentonii,0.292
21,0.433,3.6935,3.6986,56483,35781,Myotis daubentonii,0.262
