id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.448,0.0015,0.0097,41860,35781,Pipistrellus nathusii,0.415
1,0.738,0.1905,0.2005,40239,34921,Pipistrellus nathusii,0.576
2,0.788,0.4525,0.4631,40021,34921,Pipistrellus nathusii,0.676
3,0.788,0.7285,0.7382,40111,34921,Pipistrellus nathusii,0.695
4,0.685,0.8835,0.8932,41127,35781,Pipistrellus nathusii,0.63
5,0.785,1.0285,1.0379,43216,34921,Pipistrellus nathusii,0.639
6,0.814,1.1715,1.1811,42270,34921,Pipistrellus nathusii,0.688
7,0.745,1.3465,1.3582,39834,34921,Pipistrellus nathusii,0.47
8,0.808,1.5285,1.5394,39806,34921,Pipistrellus nathusii,0.516
9,0.816,1.7925,1.8017,41150,34921,Pipistrellus nathusii,0.755
10,0.731,1.9675,1.9756,45078,34921,Pipistrellus nathusii,0.662
11,0.749,2.1475,2.1559,42829,34921,Pipistrellus nathusii,0.68
12,0.75,2.3265,2.3356,42500,34921,Pipistrellus nathusii,0.632
13,0.687,2.5985,2.6077,41076,34921,Pipistrellus nathusii,0.552
14,0.76,2.7865,2.7965,40393,34921,Pipistrellus nathusii,0.564
15,0.782,2.9585,2.966,43653,34921,Pipistrellus nathusii,0.683
16,0.806,3.2335,3.2417,43271,34921,Pipistrellus nathusii,0.735
17,0.518,3.4145,3.4259,39914,34921,Pipistrellus nathusii,0.268
18,0.628,3.5805,3.5874,45197,34062,Pipistrellus nathusii,0.431
19,0.758,3.7615,3.7698,43318,34921,Pipistrellus nathusii,0.639
20,0.635,3.9305,3.9384,47863,34921,Pipistrellus nathusii,0.52
21,0.6,4.1955,4.2054,40969,34921,Pipistrellus nathusii,0.557
22,0.612,4.4985,4.506,64711,35781,Pipistrellus nathusii,0.549
23,0.618,4.6495,4.6581,54719,34921,Pipistrellus nathusii,0.516
24,0.608,4.8305,4.8386,52621,34921,Pipistrellus nathusii,0.472
25,0.641,5.0175,5.0246,61610,34921,Pipistrellus nathusii,0.611
26,0.536,5.2065,5.214,66513,35781,Pipistrellus nathusii,0.449
27,0.571,5.3905,5.3987,52601,34921,Pipistrellus nathusii,0.479
28,0.556,5.5625,5.5706,61832,34921,Pipistrellus nathusii,0.451
29,0.644,5.7585,5.7669,44579,34062,Pipistrellus nathusii,0.593
30,0.612,5.9405,5.9478,46040,34062,Pipistrellus nathusii,0.445
31,0.592,6.4105,6.422,38829,34062,Pipistrellus nathusii,0.454
32,0.582,6.6815,6.6935,38239,34062,Pipistrellus nathusii,0.504
33,0.641,6.8615,6.8723,49419,34062,Eptesicus serotinus,0.337
34,0.641,7.0605,7.0723,38321,34062,Pipistrellus nathusii,0.5
35,0.669,7.2485,7.2599,39191,34062,Pipistrellus nathusii,0.578
36,0.667,7.5325,7.5441,39189,34062,Pipistrellus nathusii,0.586
37,0.551,7.7405,7.7553,37039,34921,Pipistrellus nathusii,0.252
38,0.674,7.9295,7.941,39228,34062,Pipistrellus nathusii,0.548
39,0.585,8.3105,8.3239,38027,34062,Pipistrellus nathusii,0.324
40,0.684,8.4655,8.4761,40118,34921,Pipistrellus nathusii,0.585
41,0.503,8.6575,8.6708,38125,34062,Pipistrellus nathusii,0.27
42,0.751,8.9185,8.931,38478,34062,Pipistrellus nathusii,0.395
43,0.726,9.1095,9.1216,38821,34062,Pipistrellus nathusii,0.573
44,0.589,9.3955,9.41,38607,34921,Pipistrellus nathusii,0.329
