id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.411,2.1305,2.1424,34287,26328,Eptesicus serotinus,0.215
1,0.515,2.5495,2.5621,36854,27187,Eptesicus serotinus,0.406
2,0.432,2.9605,2.9733,36562,27187,Eptesicus serotinus,0.35
3,0.476,3.1245,3.1375,36469,26328,Eptesicus serotinus,0.352
4,0.506,3.3925,3.404,39043,26328,Eptesicus serotinus,0.413
5,0.498,3.6145,3.6271,36447,26328,Eptesicus serotinus,0.378
6,0.637,3.8795,3.8914,43330,26328,Eptesicus serotinus,0.38
7,0.772,4.1685,4.1803,45730,27187,Eptesicus serotinus,0.614
8,0.666,4.3935,4.4056,36594,26328,Eptesicus serotinus,0.397
9,0.619,4.6275,4.6421,39352,25468,Eptesicus serotinus,0.386
10,0.72,4.8845,4.8992,39747,25468,Eptesicus serotinus,0.599
11,0.618,5.0895,5.1018,36667,25468,Eptesicus serotinus,0.486
12,0.735,5.3415,5.3536,38160,25468,Eptesicus serotinus,0.566
13,0.621,5.6595,5.6735,32753,24609,Nyctalus leisleri,0.306
14,0.595,5.9165,5.9298,34249,24609,Eptesicus serotinus,0.423
15,0.659,6.1745,6.1845,35821,26328,Eptesicus serotinus,0.452
16,0.732,6.4405,6.4525,39655,25468,Eptesicus serotinus,0.619
17,0.709,6.7515,6.7629,45311,26328,Eptesicus serotinus,0.607
18,0.631,7.0095,7.0206,38864,26328,Eptesicus serotinus,0.564
19,0.661,7.1405,7.1506,39800,27187,Eptesicus serotinus,0.591
20,0.515,7.3175,7.3293,36568,27187,Eptesicus serotinus,0.416
21,0.622,7.5935,7.6053,39825,25468,Eptesicus serotinus,0.577
22,0.63,7.9215,7.9349,39628,26328,Eptesicus serotinus,0.558
23,0.536,8.4355,8.4483,36288,26328,Eptesicus serotinus,0.437
24,0.416,8.6765,8.6896,34111,27187,Eptesicus serotinus,0.248
