id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.532,0.1945,0.209,41521,37500,Pipistrellus nathusii,0.517
1,0.569,0.2915,0.3042,44509,38359,Pipistrellus nathusii,0.553
2,0.517,0.3865,0.3994,47093,38359,Pipistrellus nathusii,0.499
3,0.664,0.5005,0.5101,45704,39218,Pipistrellus nathusii,0.654
4,0.605,0.6775,0.689,43961,38359,Pipistrellus nathusii,0.601
5,0.467,0.8775,0.891,40806,36640,Pipistrellus nathusii,0.46
6,0.581,1.0755,1.0893,43217,37500,Pipistrellus nathusii,0.575
7,0.491,1.2725,1.2887,40253,36640,Pipistrellus nathusii,0.474
8,0.742,1.4745,1.4869,42978,37500,Pipistrellus nathusii,0.737
9,0.627,1.6875,1.7022,40904,36640,Pipistrellus nathusii,0.613
10,0.542,1.9005,1.9168,40302,36640,Pipistrellus nathusii,0.515
11,0.594,2.1005,2.1117,41178,35781,Pipistrellus nathusii,0.588
12,0.842,2.2885,2.3,42601,36640,Pipistrellus nathusii,0.838
13,0.739,2.4885,2.5001,42364,36640,Pipistrellus nathusii,0.732
14,0.817,2.6855,2.6964,43219,36640,Pipistrellus nathusii,0.815
15,0.832,2.8785,2.8868,45370,36640,Pipistrellus nathusii,0.829
16,0.802,3.0715,3.0797,44947,37500,Pipistrellus nathusii,0.795
17,0.891,3.1805,3.1882,56883,38359,Pipistrellus nathusii,0.884
18,0.837,3.3635,3.3709,48978,36640,Pipistrellus nathusii,0.829
19,0.796,3.5585,3.5682,50466,38359,Pipistrellus nathusii,0.789
20,0.667,3.6755,3.688,43217,37500,Pipistrellus nathusii,0.661
21,0.783,3.8635,3.8717,47768,38359,Pipistrellus nathusii,0.777
22,0.426,4.0595,4.0779,40687,36640,Pipistrellus nathusii,0.353
23,0.503,4.2495,4.2646,41652,37500,Pipistrellus nathusii,0.469
24,0.474,4.6425,4.6592,40073,36640,Pipistrellus nathusii,0.43
25,0.425,4.8405,4.8579,39883,36640,Pipistrellus nathusii,0.33
26,0.472,5.3575,5.3711,40138,36640,Pipistrellus nathusii,0.46
27,0.498,5.7875,5.8015,41489,37500,Pipistrellus nathusii,0.46
28,0.482,6.2175,6.2324,41084,37500,Pipistrellus nathusii,0.411
29,0.531,7.0415,7.0545,40685,36640,Pipistrellus nathusii,0.34
