id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.576,0.2545,0.2651,30687,24609,Nyctalus leisleri,0.307
1,0.64,0.8225,0.834,30574,24609,Nyctalus leisleri,0.376
2,0.706,1.2515,1.2652,31318,23750,Nyctalus leisleri,0.402
3,0.667,1.3975,1.4068,33950,26328,Nyctalus leisleri,0.346
4,0.689,1.6775,1.689,33200,24609,Nyctalus leisleri,0.328
5,0.561,2.2365,2.2528,30108,24609,Nyctalus leisleri,0.37
6,0.545,2.5145,2.5303,33488,24609,Eptesicus serotinus,0.293
7,0.692,2.8035,2.8166,31392,24609,Nyctalus leisleri,0.402
8,0.608,3.1015,3.1142,34676,25468,Eptesicus serotinus,0.309
9,0.502,3.7065,3.7222,29991,24609,Nyctalus leisleri,0.339
10,0.51,4.5765,4.5926,28833,24609,Nyctalus leisleri,0.418
11,0.479,5.5745,5.5917,28917,24609,Nyctalus leisleri,0.406
12,0.63,6.4105,6.4242,33893,24609,Eptesicus serotinus,0.322
13,0.646,6.9815,6.9949,32501,24609,Nyctalus leisleri,0.321
14,0.562,7.3995,7.4154,32405,23750,Nyctalus leisleri,0.268
15,0.632,7.9655,7.9802,34513,25468,Nyctalus leisleri,0.335
16,0.593,8.2425,8.2576,36659,25468,Eptesicus serotinus,0.384
17,0.584,8.6675,8.6817,33631,24609,Nyctalus leisleri,0.273
18,0.656,9.2185,9.2327,36199,24609,Eptesicus serotinus,0.364
19,0.67,9.4995,9.513,33174,24609,Nyctalus leisleri,0.336
20,0.722,9.9105,9.9231,41761,25468,Eptesicus serotinus,0.424
21,0.781,10.1925,10.2035,44002,25468,Eptesicus serotinus,0.569
22,0.721,10.6125,10.6245,38048,24609,Nyctalus leisleri,0.443
23,0.705,10.9015,10.9133,34287,24609,Nyctalus leisleri,0.399
24,0.742,11.3165,11.3298,41434,23750,Nyctalus leisleri,0.375
25,0.684,11.7485,11.763,34605,23750,Eptesicus serotinus,0.322
26,0.793,12.0405,12.0549,30611,23750,Nyctalus leisleri,0.68
27,0.646,12.4695,12.4855,32690,22890,Nyctalus leisleri,0.342
28,0.751,13.0405,13.0549,35360,23750,Nyctalus leisleri,0.619
29,0.692,13.3315,13.3448,31366,23750,Nyctalus leisleri,0.457
30,0.479,13.7595,13.7759,32329,23750,Nyctalus leisleri,0.287
31,0.488,14.3295,14.3462,31198,23750,Nyctalus leisleri,0.322
32,0.452,14.6255,14.6391,28319,23750,Nyctalus leisleri,0.283
