id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.706,0.5725,0.5898,26233,23750,Nyctalus leisleri,0.687
1,0.667,1.0305,1.0494,25559,23750,Nyctalus leisleri,0.647
2,0.641,1.2635,1.2811,26779,24609,Nyctalus leisleri,0.6
3,0.556,1.3795,1.3876,34150,27187,Eptesicus serotinus,0.262
4,0.726,1.5995,1.6166,26704,23750,Nyctalus leisleri,0.688
5,0.699,2.1825,2.2032,25912,22890,Nyctalus leisleri,0.682
6,0.768,2.6405,2.659,25595,23750,Nyctalus leisleri,0.75
7,0.706,3.1095,3.1259,25414,22890,Nyctalus leisleri,0.695
8,0.581,3.5615,3.5838,25741,22890,Nyctalus leisleri,0.557
9,0.719,3.9135,3.9314,26458,23750,Nyctalus leisleri,0.695
10,0.671,4.0765,4.0882,33132,24609,Nyctalus leisleri,0.342
11,0.741,4.3845,4.399,30417,23750,Nyctalus leisleri,0.629
12,0.745,4.8335,4.8492,27532,23750,Nyctalus leisleri,0.702
13,0.65,4.9555,4.9645,34888,25468,Eptesicus serotinus,0.397
14,0.735,5.1135,5.1226,34142,26328,Nyctalus leisleri,0.51
15,0.569,5.2805,5.291,32704,26328,Nyctalus leisleri,0.333
16,0.678,5.4605,5.4685,34261,26328,Nyctalus leisleri,0.359
17,0.583,5.5575,5.5629,34018,22031,Eptesicus serotinus,0.269
18,0.572,5.6365,5.6394,37118,22890,Plecotus auritus,0.449
19,0.741,6.2485,6.2614,31146,25468,Nyctalus leisleri,0.572
20,0.677,6.6295,6.6412,32532,24609,Nyctalus leisleri,0.365
21,0.726,6.9145,6.9285,28349,23750,Nyctalus leisleri,0.658
22,0.707,7.2385,7.2542,26793,22890,Nyctalus leisleri,0.658
23,0.759,7.6765,7.6906,26953,23750,Nyctalus leisleri,0.729
24,0.46,9.1945,9.2098,27527,22890,Nyctalus leisleri,0.347
25,0.724,9.9895,10.0026,28881,23750,Nyctalus leisleri,0.644
26,0.719,10.2235,10.2373,28038,23750,Nyctalus leisleri,0.624
27,0.685,10.4495,10.4614,31126,23750,Nyctalus leisleri,0.362
28,0.716,10.6825,10.6945,29640,23750,Nyctalus leisleri,0.569
29,0.542,11.0265,11.0401,29849,23750,Nyctalus leisleri,0.28
