id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.453,0.1915,0.1954,56345,38359,Myotis daubentonii,0.407
1,0.504,0.3025,0.3073,51777,37500,Myotis daubentonii,0.459
2,0.467,0.3995,0.4041,53793,38359,Myotis daubentonii,0.425
3,0.454,0.5015,0.5063,55191,40937,Myotis daubentonii,0.406
4,0.502,0.6025,0.6069,53040,37500,Myotis daubentonii,0.454
5,0.423,0.7045,0.7087,54890,38359,Myotis daubentonii,0.379
6,0.441,0.7995,0.804,54335,36640,Myotis daubentonii,0.402
7,0.462,0.8985,0.9037,54495,38359,Myotis daubentonii,0.419
8,0.448,0.9795,0.9836,54017,38359,Myotis daubentonii,0.385
9,0.414,1.0045,1.0102,60046,40078,Myotis daubentonii,0.369
10,0.463,1.0885,1.0929,55425,36640,Myotis daubentonii,0.415
11,0.411,1.1075,1.113,60049,35781,Myotis daubentonii,0.372
12,0.423,1.2145,1.2198,61470,38359,Myotis daubentonii,0.386
13,0.457,1.2625,1.2663,54326,38359,Myotis daubentonii,0.408
14,0.498,1.3135,1.3182,55937,38359,Myotis daubentonii,0.446
15,0.508,1.3745,1.3784,55567,38359,Myotis daubentonii,0.431
16,0.489,1.4235,1.4285,60786,36640,Myotis daubentonii,0.454
17,0.468,1.4745,1.4793,58463,36640,Myotis daubentonii,0.427
18,0.497,1.5305,1.5356,55812,35781,Myotis daubentonii,0.459
19,0.469,1.5685,1.5731,57114,36640,Myotis daubentonii,0.421
20,0.501,1.6335,1.639,59261,35781,Myotis daubentonii,0.467
21,0.487,1.6635,1.6676,55853,37500,Myotis daubentonii,0.428
22,0.478,1.7555,1.7603,57385,37500,Myotis daubentonii,0.442
23,0.47,1.8485,1.8534,54957,37500,Myotis daubentonii,0.434
24,0.418,1.8615,1.8652,55924,38359,Myotis daubentonii,0.343
25,0.524,1.9525,1.9573,57032,34921,Myotis daubentonii,0.473
26,0.54,1.9695,1.9746,58157,37500,Myotis daubentonii,0.489
27,0.483,2.0635,2.0685,57391,37500,Myotis daubentonii,0.411
28,0.509,2.1615,2.166,55806,36640,Myotis daubentonii,0.458
29,0.455,2.2195,2.2247,54658,39218,Myotis daubentonii,0.407
30,0.472,2.3605,2.3662,64226,36640,Myotis daubentonii,0.433
31,0.489,2.4565,2.4621,56714,38359,Myotis daubentonii,0.445
32,0.459,2.5675,2.5737,57758,39218,Myotis daubentonii,0.372
33,0.467,2.6645,2.6698,55296,36640,Myotis daubentonii,0.421
34,0.47,2.7795,2.7846,57823,36640,Myotis daubentonii,0.436
35,0.478,2.8825,2.888,54449,38359,Myotis daubentonii,0.407
36,0.482,2.9615,2.9662,53312,36640,Myotis daubentonii,0.427
37,0.464,3.0095,3.0147,52737,39218,Myotis daubentonii,0.397
38,0.439,3.3225,3.3271,52233,40078,Myotis daubentonii,0.394
39,0.453,3.4825,3.4867,53282,36640,Myotis daubentonii,0.393
40,0.429,3.7715,3.7759,53099,37500,Myotis daubentonii,0.378
