id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.636,0.1155,0.12,52162,34921,Myotis daubentonii,0.542
1,0.604,0.2275,0.2319,54310,39218,Myotis daubentonii,0.461
2,0.471,0.3355,0.3393,48915,36640,Myotis daubentonii,0.343
3,0.59,0.4505,0.4552,56172,39218,Myotis daubentonii,0.469
4,0.612,0.5715,0.5756,50797,36640,Myotis daubentonii,0.506
5,0.668,0.6815,0.6871,58520,34921,Myotis daubentonii,0.592
6,0.602,0.7945,0.7989,53323,37500,Myotis daubentonii,0.515
7,0.641,0.9015,0.906,51604,34921,Myotis daubentonii,0.51
8,0.61,1.0205,1.0254,55490,37500,Myotis daubentonii,0.508
9,0.654,1.1415,1.1456,53679,35781,Myotis daubentonii,0.543
10,0.616,1.2585,1.2629,55871,37500,Myotis daubentonii,0.524
11,0.637,1.3705,1.3757,54589,34921,Myotis daubentonii,0.541
12,0.623,1.4935,1.4983,60026,37500,Myotis daubentonii,0.516
13,0.618,1.6105,1.6158,57346,35781,Myotis daubentonii,0.515
14,0.624,1.7295,1.7344,56124,35781,Myotis daubentonii,0.542
15,0.565,1.8405,1.8471,59995,34062,Myotis daubentonii,0.471
16,0.652,1.9625,1.9672,57504,38359,Myotis daubentonii,0.521
17,0.501,2.0775,2.084,62557,35781,Myotis daubentonii,0.381
18,0.467,2.1975,2.2036,62104,37500,Myotis daubentonii,0.299
19,0.563,2.3145,2.3202,57332,34921,Myotis daubentonii,0.422
20,0.493,2.4365,2.4426,57582,34921,Myotis daubentonii,0.311
21,0.465,2.5605,2.5652,54221,38359,Myotis daubentonii,0.377
22,0.474,2.6815,2.687,56929,37500,Myotis daubentonii,0.352
23,0.501,2.7875,2.7919,52041,37500,Myotis daubentonii,0.408
24,0.479,2.9185,2.9245,56950,36640,Myotis daubentonii,0.377
25,0.491,3.1655,3.1713,55980,38359,Myotis daubentonii,0.358
26,0.526,3.3985,3.4036,52928,37500,Myotis daubentonii,0.427
27,0.44,3.5015,3.5064,53992,35781,Myotis daubentonii,0.332
28,0.403,3.7415,3.7477,52913,37500,Myotis daubentonii,0.275
