id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.757,0.0815,0.0869,63702,55546,Pipistrellus pygmaeus,0.752
1,0.774,0.1645,0.1706,64635,55546,Pipistrellus pygmaeus,0.769
2,0.771,0.3105,0.3154,66727,56406,Pipistrellus pygmaeus,0.765
3,0.854,0.3945,0.3988,79959,55546,Pipistrellus pygmaeus,0.852
4,0.794,0.4765,0.4816,72516,55546,Pipistrellus pygmaeus,0.791
5,0.807,0.5575,0.5623,72569,55546,Pipistrellus pygmaeus,0.802
6,0.809,0.6425,0.6475,67136,55546,Pipistrellus pygmaeus,0.804
7,0.788,0.7285,0.7337,68241,55546,Pipistrellus pygmaeus,0.782
8,0.831,0.8085,0.813,77204,55546,Pipistrellus pygmaeus,0.829
9,0.833,0.8905,0.8953,77929,55546,Pipistrellus pygmaeus,0.83
10,0.838,0.9745,0.9788,77259,55546,Pipistrellus pygmaeus,0.837
11,0.826,1.0615,1.0666,79082,54687,Pipistrellus pygmaeus,0.825
12,0.82,1.1625,1.1667,71464,55546,Pipistrellus pygmaeus,0.818
13,0.839,1.2525,1.2576,80298,55546,Pipistrellus pygmaeus,0.836
14,0.785,1.4015,1.4054,67634,56406,Pipistrellus pygmaeus,0.778
15,0.821,1.4835,1.4892,82850,54687,Pipistrellus pygmaeus,0.818
16,0.843,1.5735,1.5782,77408,55546,Pipistrellus pygmaeus,0.841
17,0.805,1.6595,1.6644,77113,55546,Pipistrellus pygmaeus,0.802
18,0.84,1.7215,1.7256,77583,55546,Pipistrellus pygmaeus,0.837
19,0.845,1.8015,1.8063,79683,54687,Pipistrellus pygmaeus,0.844
20,0.855,1.8825,1.887,83271,55546,Pipistrellus pygmaeus,0.852
21,0.818,1.9655,1.9701,78349,56406,Pipistrellus pygmaeus,0.817
22,0.829,2.0475,2.054,94646,54687,Pipistrellus pygmaeus,0.827
23,0.818,2.1335,2.139,82426,55546,Pipistrellus pygmaeus,0.815
24,0.81,2.2165,2.2241,85885,54687,Pipistrellus pygmaeus,0.802
25,0.769,2.3075,2.3144,81837,53828,Pipistrellus pygmaeus,0.762
26,0.795,2.4635,2.4704,87995,54687,Pipistrellus pygmaeus,0.788
27,0.797,2.5545,2.5618,87569,54687,Pipistrellus pygmaeus,0.788
28,0.801,2.7045,2.7109,79901,54687,Pipistrellus pygmaeus,0.798
29,0.806,2.7925,2.8003,88829,53828,Pipistrellus pygmaeus,0.798
30,0.804,2.8785,2.8855,90072,53828,Pipistrellus pygmaeus,0.796
31,0.834,2.9655,2.9722,91547,53828,Pipistrellus pygmaeus,0.831
32,0.808,3.0405,3.0478,91537,53828,Pipistrellus pygmaeus,0.807
33,0.811,3.1145,3.1223,89318,53828,Pipistrellus pygmaeus,0.805
34,0.821,3.1975,3.204,87902,53828,Pipistrellus pygmaeus,0.817
35,0.801,3.2655,3.2734,87853,52968,Pipistrellus pygmaeus,0.795
36,0.829,3.3515,3.3586,89491,53828,Pipistrellus pygmaeus,0.822
37,0.843,3.4255,3.4321,94432,54687,Pipistrellus pygmaeus,0.84
38,0.81,3.6455,3.6528,96617,54687,Pipistrellus pygmaeus,0.804
39,0.799,3.8005,3.8082,90821,54687,Pipistrellus pygmaeus,0.797
40,0.834,3.8875,3.8943,94120,53828,Pipistrellus pygmaeus,0.828
41,0.73,3.9725,3.9798,91815,53828,Pipistrellus pygmaeus,0.726
42,0.846,4.0545,4.0604,83346,53828,Pipistrellus pygmaeus,0.844
43,0.825,4.1495,4.1561,86009,53828,Pipistrellus pygmaeus,0.822
44,0.826,4.3105,4.3165,82264,53828,Pipistrellus pygmaeus,0.821
45,0.822,4.4045,4.4096,73279,53828,Pipistrellus pygmaeus,0.817
46,0.834,4.5035,4.5099,71020,52968,Pipistrellus pygmaeus,0.83
47,0.823,4.6045,4.6103,65012,52968,Pipistrellus pygmaeus,0.82
48,0.8,4.7585,4.7641,64790,52109,Pipistrellus pygmaeus,0.799
49,0.807,4.8475,4.8542,61046,52109,Pipistrellus pygmaeus,0.804
50,0.803,4.9415,4.9473,61891,52968,Pipistrellus pygmaeus,0.798
51,0.806,5.0885,5.0941,64267,52968,Pipistrellus pygmaeus,0.804
52,0.81,5.2575,5.2644,59437,52109,Pipistrellus pygmaeus,0.804
53,0.777,5.3515,5.3587,58766,52109,Pipistrellus pygmaeus,0.77
54,0.738,5.5145,5.5217,59666,52109,Pipistrellus pygmaeus,0.735
55,0.687,5.6055,5.6126,58715,52109,Pipistrellus pygmaeus,0.681
56,0.76,5.7005,5.7074,60821,52968,Pipistrellus pygmaeus,0.753
57,0.588,5.8565,5.8651,61929,52109,Pipistrellus pygmaeus,0.579
58,0.758,6.0405,6.0493,63792,52109,Pipistrellus pygmaeus,0.697
59,0.589,6.1285,6.1387,58924,52109,Pipistrellus pygmaeus,0.574
60,0.691,6.2165,6.2256,63419,52109,Pipistrellus pygmaeus,0.666
61,0.64,6.3075,6.3166,56015,52109,Pipistrellus pygmaeus,0.603
62,0.499,6.4645,6.4763,55651,51250,Pipistrellus pygmaeus,0.468
63,0.49,6.5665,6.5756,54798,51250,Pipistrellus pygmaeus,0.463
64,0.55,6.6715,6.6818,56225,52109,Pipistrellus pygmaeus,0.524
65,0.63,6.7605,6.7703,58581,51250,Pipistrellus pygmaeus,0.525
66,0.589,6.9285,6.9401,54346,50390,Pipistrellus pygmaeus,0.506
67,0.584,7.1845,7.1952,55086,51250,Pipistrellus pygmaeus,0.548
68,0.434,7.5155,7.5261,53395,50390,Pipistrellus pygmaeus,0.403
69,0.574,7.6125,7.6253,53820,50390,Pipistrellus pygmaeus,0.525
70,0.548,7.8675,7.8777,53585,50390,Pipistrellus pygmaeus,0.473
