id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.671,0.3025,0.3082,63757,31484,Myotis daubentonii,0.659
1,0.571,0.4875,0.4926,55070,34921,Myotis daubentonii,0.549
2,0.615,0.5885,0.5943,61701,31484,Myotis daubentonii,0.603
3,0.499,0.7725,0.7778,60969,34062,Myotis daubentonii,0.484
4,0.485,1.0395,1.0443,65399,32343,Myotis daubentonii,0.474
5,0.657,1.1355,1.1412,69246,29765,Myotis daubentonii,0.648
6,0.564,1.3155,1.3207,65907,31484,Myotis daubentonii,0.551
7,0.692,1.5015,1.5076,67369,29765,Myotis daubentonii,0.684
8,0.498,1.6025,1.6079,65337,29765,Myotis daubentonii,0.485
9,0.718,1.7975,1.8044,69031,30625,Myotis daubentonii,0.711
10,0.675,1.8945,1.9008,68277,31484,Myotis daubentonii,0.665
11,0.67,2.1965,2.203,70652,29765,Myotis daubentonii,0.665
12,0.665,2.2765,2.2837,71180,28046,Myotis daubentonii,0.66
13,0.684,2.4535,2.4606,70604,29765,Myotis daubentonii,0.677
14,0.677,2.5495,2.557,72432,28046,Myotis daubentonii,0.669
15,0.644,2.7645,2.7722,72645,29765,Myotis daubentonii,0.639
16,0.666,2.9205,2.928,71234,27187,Myotis daubentonii,0.66
17,0.673,3.0995,3.1071,74269,28906,Myotis daubentonii,0.667
18,0.705,3.2935,3.3006,73809,28906,Myotis daubentonii,0.699
19,0.715,3.4555,3.4625,75917,28906,Myotis daubentonii,0.708
20,0.719,3.6445,3.6519,74648,28906,Myotis daubentonii,0.712
21,0.716,3.7375,3.7446,74603,28046,Myotis daubentonii,0.709
22,0.709,3.9115,3.9189,73831,28046,Myotis daubentonii,0.704
23,0.704,4.0865,4.0933,72960,28906,Myotis daubentonii,0.696
24,0.675,4.1845,4.1906,70416,27187,Myotis daubentonii,0.669
25,0.642,4.3505,4.3577,72125,30625,Myotis daubentonii,0.633
26,0.652,4.4485,4.4551,66838,28906,Myotis daubentonii,0.645
27,0.607,4.5385,4.5454,69708,28906,Myotis daubentonii,0.597
28,0.694,4.6215,4.6277,69382,29765,Myotis daubentonii,0.68
29,0.727,4.7165,4.7224,64966,28046,Myotis daubentonii,0.716
30,0.615,4.8785,4.8838,65121,28906,Myotis daubentonii,0.604
31,0.706,4.9725,4.9786,64947,28906,Myotis daubentonii,0.694
32,0.743,5.1645,5.1708,66666,28906,Myotis daubentonii,0.735
33,0.581,5.2605,5.2657,65985,28906,Myotis daubentonii,0.566
34,0.691,5.4315,5.4382,70551,28046,Myotis daubentonii,0.683
35,0.56,5.6085,5.6137,64068,30625,Myotis daubentonii,0.553
36,0.68,5.6955,5.7017,64867,33203,Myotis daubentonii,0.664
37,0.589,5.7995,5.8043,59757,31484,Myotis daubentonii,0.578
38,0.504,5.8975,5.9027,65255,29765,Myotis daubentonii,0.495
39,0.564,5.9895,5.9946,60448,30625,Myotis daubentonii,0.553
40,0.569,6.1635,6.169,58623,30625,Myotis daubentonii,0.552
41,0.637,6.2625,6.2677,57566,30625,Myotis daubentonii,0.622
42,0.644,6.4385,6.4443,60014,28906,Myotis daubentonii,0.62
43,0.617,6.5405,6.5454,56848,29765,Myotis daubentonii,0.596
44,0.535,6.7095,6.7148,60413,31484,Myotis daubentonii,0.515
45,0.589,6.8045,6.81,54407,32343,Myotis daubentonii,0.567
46,0.611,7.0445,7.0499,54967,31484,Myotis daubentonii,0.59
47,0.462,7.1315,7.1359,55863,32343,Myotis daubentonii,0.438
48,0.573,7.2285,7.2326,51399,35781,Myotis daubentonii,0.54
49,0.432,7.3925,7.3966,46640,36640,Myotis daubentonii,0.366
50,0.591,7.4785,7.4827,49656,36640,Myotis daubentonii,0.547
51,0.522,7.9265,7.9306,50378,38359,Myotis daubentonii,0.474
