id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.594,0.0965,0.1015,44442,29765,Myotis daubentonii,0.26
1,0.55,0.1885,0.1947,46020,30625,Eptesicus serotinus,0.282
2,0.584,0.2835,0.2889,49782,29765,Myotis daubentonii,0.264
3,0.653,0.3805,0.3849,50414,28906,Myotis daubentonii,0.305
4,0.691,0.4865,0.4911,51033,27187,Myotis daubentonii,0.326
5,0.639,0.5725,0.5772,51283,27187,Myotis daubentonii,0.328
6,0.674,0.6505,0.6551,47817,27187,Myotis daubentonii,0.381
7,0.631,0.7645,0.7704,61042,28046,Myotis daubentonii,0.315
8,0.595,0.8605,0.8657,53509,27187,Myotis daubentonii,0.323
9,0.637,0.9535,0.9586,50294,27187,Myotis daubentonii,0.348
10,0.669,1.0555,1.0601,51165,28046,Myotis daubentonii,0.261
11,0.675,1.1455,1.1498,46070,28046,Myotis daubentonii,0.303
12,0.611,1.2475,1.252,51458,29765,Eptesicus serotinus,0.356
13,0.649,1.4305,1.4348,47085,28046,Eptesicus serotinus,0.368
14,0.654,1.5305,1.5362,57538,26328,Myotis daubentonii,0.34
15,0.647,1.6305,1.6352,47701,28906,Eptesicus serotinus,0.419
16,0.663,1.7305,1.7348,46226,28046,Myotis daubentonii,0.362
17,0.597,1.8355,1.84,51338,28906,Myotis daubentonii,0.213
18,0.72,2.0115,2.0154,48491,28046,Myotis daubentonii,0.37
19,0.649,2.1115,2.1165,55817,28046,Myotis daubentonii,0.334
20,0.69,2.2115,2.215,48750,28046,Myotis daubentonii,0.355
21,0.64,2.3105,2.3157,57488,28046,Myotis daubentonii,0.335
22,0.646,2.4085,2.4131,53946,28046,Eptesicus serotinus,0.303
23,0.618,2.5085,2.5137,60406,28906,Myotis daubentonii,0.289
24,0.682,2.6995,2.704,56259,28046,Myotis daubentonii,0.483
25,0.675,2.7885,2.7928,52990,29765,Myotis daubentonii,0.41
26,0.715,2.8855,2.8904,54550,27187,Myotis daubentonii,0.49
27,0.628,2.9815,2.9863,53737,28906,Myotis daubentonii,0.416
28,0.76,3.0795,3.0836,47386,27187,Myotis daubentonii,0.396
29,0.632,3.1705,3.1753,47456,29765,Myotis daubentonii,0.427
30,0.564,3.2715,3.2759,45600,29765,Myotis daubentonii,0.228
31,0.65,3.3585,3.3624,46392,33203,Myotis daubentonii,0.415
32,0.405,3.6355,3.641,47407,34062,Myotis daubentonii,0.222
33,0.662,3.7035,3.7075,44211,30625,Myotis daubentonii,0.269
34,0.661,3.8485,3.8521,45807,31484,Myotis daubentonii,0.363
35,0.417,3.9425,3.9478,42236,30625,Eptesicus serotinus,0.158
36,0.506,4.0335,4.0377,44788,32343,Eptesicus serotinus,0.168
37,0.546,4.1385,4.1437,42563,28906,Eptesicus serotinus,0.303
38,0.486,4.2355,4.2407,44760,31484,Eptesicus serotinus,0.275
39,0.541,4.3345,4.3399,43166,28906,Eptesicus serotinus,0.299
40,0.62,4.4285,4.4328,44487,30625,Eptesicus serotinus,0.297
41,0.586,4.5215,4.5267,44161,29765,Eptesicus serotinus,0.385
42,0.531,4.6135,4.6183,43132,30625,Myotis daubentonii,0.192
43,0.463,4.7105,4.7161,42834,30625,Eptesicus serotinus,0.253
44,0.495,4.7935,4.7981,46088,32343,Myotis daubentonii,0.217
45,0.577,4.9315,4.9366,42755,30625,Eptesicus serotinus,0.323
