id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.406,6.8585,6.8683,51499,46953,Pipistrellus pipistrellus,0.393
1,0.58,6.9485,6.9582,51155,46093,Pipistrellus pipistrellus,0.568
2,0.498,7.0425,7.0518,54507,46953,Pipistrellus pipistrellus,0.485
3,0.456,7.1405,7.1499,53128,46953,Pipistrellus pipistrellus,0.45
4,0.682,7.3385,7.3463,53738,46953,Pipistrellus pipistrellus,0.666
5,0.602,7.4345,7.4428,52372,46953,Pipistrellus pipistrellus,0.588
6,0.492,7.5295,7.5403,52817,46953,Pipistrellus pipistrellus,0.481
7,0.63,7.6265,7.6358,54552,47812,Pipistrellus pipistrellus,0.61
8,0.521,7.7255,7.7372,53389,47812,Pipistrellus pipistrellus,0.51
9,0.728,7.8355,7.8418,57907,46953,Pipistrellus pipistrellus,0.717
10,0.751,7.9215,7.9286,62823,47812,Pipistrellus pipistrellus,0.722
11,0.658,8.0415,8.0488,61298,46953,Pipistrellus pipistrellus,0.641
12,0.697,8.1175,8.1256,58172,46953,Pipistrellus pipistrellus,0.686
13,0.689,8.2065,8.2142,62690,46953,Pipistrellus pipistrellus,0.676
14,0.716,8.2755,8.2817,61036,47812,Pipistrellus pipistrellus,0.709
15,0.683,8.3635,8.3703,65961,46953,Pipistrellus pipistrellus,0.677
16,0.708,8.4535,8.4601,62894,47812,Pipistrellus pipistrellus,0.702
17,0.748,8.5455,8.5527,66475,46953,Pipistrellus pipistrellus,0.74
18,0.613,8.6315,8.6398,62628,46953,Pipistrellus pipistrellus,0.595
19,0.597,8.7165,8.7249,64535,46953,Pipistrellus pipistrellus,0.59
20,0.713,8.8015,8.8106,69208,46953,Pipistrellus pipistrellus,0.696
21,0.678,8.8875,8.896,58116,46953,Pipistrellus pipistrellus,0.662
22,0.736,8.9615,8.9679,70387,47812,Pipistrellus pipistrellus,0.706
23,0.443,9.0055,9.0116,70964,52109,Pipistrellus pipistrellus,0.422
24,0.698,9.0965,9.1044,69270,46953,Pipistrellus pipistrellus,0.683
25,0.686,9.1805,9.1895,71517,46953,Pipistrellus pipistrellus,0.634
26,0.659,9.3305,9.3376,64717,46953,Pipistrellus pipistrellus,0.649
27,0.705,9.4115,9.4203,66876,46093,Pipistrellus pipistrellus,0.651
28,0.491,9.5005,9.5086,54884,45234,Pipistrellus pipistrellus,0.465
29,0.711,9.5885,9.5952,52826,44375,Pipistrellus pipistrellus,0.697
30,0.742,9.7125,9.7195,57641,46953,Pipistrellus pipistrellus,0.734
31,0.789,9.7765,9.7824,62011,47812,Pipistrellus pipistrellus,0.776
32,0.747,9.8995,9.9073,66660,45234,Pipistrellus pipistrellus,0.731
33,0.584,10.0445,10.0525,52576,45234,Pipistrellus pipistrellus,0.575
34,0.703,10.1555,10.1626,59795,46953,Pipistrellus pipistrellus,0.691
35,0.525,10.3265,10.3351,54745,47812,Pipistrellus pipistrellus,0.503
36,0.69,10.5005,10.5081,58226,46093,Pipistrellus pipistrellus,0.675
37,0.751,10.6795,10.6871,58264,46093,Pipistrellus pipistrellus,0.741
38,0.535,10.7805,10.7892,53576,46093,Pipistrellus pipistrellus,0.523
39,0.741,10.9255,10.9336,58236,46093,Pipistrellus pipistrellus,0.729
40,0.788,11.0135,11.0213,60520,45234,Pipistrellus pipistrellus,0.784
41,0.738,11.1175,11.1242,56678,45234,Pipistrellus pipistrellus,0.729
42,0.808,11.2135,11.2203,55182,45234,Pipistrellus pipistrellus,0.805
43,0.7,11.3835,11.391,56144,45234,Pipistrellus pipistrellus,0.694
44,0.802,11.4555,11.4632,62425,46953,Pipistrellus pipistrellus,0.774
45,0.775,11.5255,11.5321,61110,45234,Pipistrellus pipistrellus,0.768
46,0.801,11.5955,11.6016,61892,46093,Pipistrellus pipistrellus,0.788
47,0.739,11.6705,11.6763,61232,46093,Pipistrellus pipistrellus,0.731
48,0.748,11.7475,11.7537,66638,46953,Pipistrellus pipistrellus,0.738
49,0.773,11.8215,11.8267,66691,46953,Pipistrellus pipistrellus,0.757
50,0.775,11.8875,11.893,72140,46953,Pipistrellus pipistrellus,0.767
51,0.792,11.9575,11.9626,66263,48671,Pipistrellus pipistrellus,0.783
52,0.756,12.0265,12.0311,63665,47812,Pipistrellus pipistrellus,0.745
53,0.755,12.0925,12.0977,68389,47812,Pipistrellus pipistrellus,0.745
54,0.751,12.1675,12.1723,66250,47812,Pipistrellus pipistrellus,0.737
55,0.763,12.2435,12.2482,64357,48671,Pipistrellus pipistrellus,0.742
56,0.746,12.3165,12.3224,64272,46953,Pipistrellus pipistrellus,0.728
57,0.796,12.3935,12.3992,60463,47812,Pipistrellus pipistrellus,0.787
58,0.728,12.4575,12.4639,56557,46953,Pipistrellus pipistrellus,0.708
59,0.707,12.5525,12.5605,55890,46953,Pipistrellus pipistrellus,0.679
60,0.408,12.6105,12.6176,42586,33203,Eptesicus serotinus,0.222
61,0.698,12.6975,12.704,56526,47812,Pipistrellus pipistrellus,0.692
62,0.537,12.7495,12.755,56300,47812,Pipistrellus pipistrellus,0.53
63,0.532,13.1225,13.1321,52529,46953,Pipistrellus pipistrellus,0.524
64,0.645,13.2215,13.2299,53545,46953,Pipistrellus pipistrellus,0.617
65,0.659,13.3165,13.3232,53908,46953,Pipistrellus pipistrellus,0.651
66,0.461,13.4845,13.4962,52500,46093,Pipistrellus pipistrellus,0.428
67,0.596,13.7095,13.7191,52110,46093,Pipistrellus pipistrellus,0.584
68,0.684,13.7965,13.8036,53467,46093,Pipistrellus pipistrellus,0.676
69,0.634,13.9885,13.9959,53586,46953,Pipistrellus pipistrellus,0.614
70,0.718,14.0755,14.0846,52839,46093,Pipistrellus pipistrellus,0.666
71,0.694,14.2715,14.2796,50998,45234,Pipistrellus pipistrellus,0.677
72,0.529,14.4495,14.459,51782,46093,Pipistrellus pipistrellus,0.515
73,0.435,14.6265,14.6364,50771,46093,Pipistrellus pipistrellus,0.426
74,0.602,14.7985,14.8065,51580,46093,Pipistrellus pipistrellus,0.594
