id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.721,0.1435,0.1535,38806,25468,Eptesicus serotinus,0.583
1,0.648,0.4075,0.4159,34951,25468,Eptesicus serotinus,0.371
2,0.626,0.6645,0.675,37182,26328,Eptesicus serotinus,0.412
3,0.708,0.9265,0.9364,38436,25468,Eptesicus serotinus,0.499
4,0.668,1.1105,1.1203,33871,26328,Nyctalus leisleri,0.495
5,0.741,1.2925,1.3032,40484,25468,Eptesicus serotinus,0.667
6,0.749,1.5265,1.5362,39924,24609,Eptesicus serotinus,0.664
7,0.775,1.7875,1.7975,39982,24609,Eptesicus serotinus,0.683
8,0.746,1.9395,1.9491,39655,25468,Eptesicus serotinus,0.659
9,0.78,2.1965,2.2079,42779,24609,Eptesicus serotinus,0.649
10,0.745,2.3545,2.3655,44543,25468,Eptesicus serotinus,0.636
11,0.764,2.5055,2.5167,46541,24609,Eptesicus serotinus,0.681
12,0.705,2.7695,2.7815,41441,23750,Eptesicus serotinus,0.601
13,0.663,2.9115,2.923,39391,25468,Eptesicus serotinus,0.588
14,0.698,3.0625,3.0762,43060,23750,Eptesicus serotinus,0.548
15,0.709,3.3265,3.3385,40442,23750,Eptesicus serotinus,0.477
16,0.654,3.5955,3.6077,38928,23750,Eptesicus serotinus,0.342
17,0.773,3.7485,3.7607,40506,23750,Eptesicus serotinus,0.69
18,0.832,4.0125,4.0258,46484,23750,Eptesicus serotinus,0.696
19,0.768,4.1585,4.1693,46750,25468,Eptesicus serotinus,0.682
20,0.773,4.2745,4.286,50033,24609,Eptesicus serotinus,0.698
21,0.781,4.4375,4.4497,45322,24609,Eptesicus serotinus,0.716
22,0.803,4.5835,4.5966,45913,24609,Eptesicus serotinus,0.712
23,0.76,4.7325,4.7434,46908,25468,Eptesicus serotinus,0.687
24,0.764,4.8735,4.885,49327,24609,Eptesicus serotinus,0.714
25,0.788,5.0145,5.026,46610,25468,Eptesicus serotinus,0.705
26,0.776,5.1635,5.1748,46389,24609,Eptesicus serotinus,0.713
27,0.766,5.4185,5.4298,44080,24609,Eptesicus serotinus,0.698
28,0.802,5.6815,5.6944,45931,23750,Eptesicus serotinus,0.73
29,0.781,5.8275,5.8405,47501,24609,Eptesicus serotinus,0.708
30,0.797,5.9765,5.9894,45758,24609,Eptesicus serotinus,0.708
31,0.808,6.2355,6.2488,48223,23750,Eptesicus serotinus,0.74
32,0.777,6.4985,6.5109,48596,24609,Eptesicus serotinus,0.674
33,0.755,6.6445,6.6561,48091,24609,Eptesicus serotinus,0.689
34,0.769,6.9025,6.9157,47855,23750,Eptesicus serotinus,0.645
35,0.748,7.0205,7.0306,46885,25468,Eptesicus serotinus,0.677
36,0.757,7.1695,7.1807,51527,25468,Eptesicus serotinus,0.666
37,0.772,7.3265,7.3382,47178,24609,Eptesicus serotinus,0.693
38,0.793,7.6085,7.6214,46556,23750,Eptesicus serotinus,0.624
39,0.79,7.7315,7.7436,51594,24609,Eptesicus serotinus,0.701
40,0.765,7.8985,7.9128,47035,23750,Eptesicus serotinus,0.698
41,0.781,8.0585,8.0702,48468,23750,Eptesicus serotinus,0.669
42,0.791,8.3355,8.3475,44550,23750,Eptesicus serotinus,0.625
43,0.751,8.5035,8.5144,44366,24609,Eptesicus serotinus,0.626
44,0.762,8.6475,8.659,44488,24609,Eptesicus serotinus,0.641
45,0.806,8.9385,8.9516,42740,22890,Eptesicus serotinus,0.607
46,0.742,9.2175,9.2305,40479,22890,Eptesicus serotinus,0.347
47,0.748,9.4005,9.4111,40618,23750,Eptesicus serotinus,0.507
48,0.724,9.6885,9.7011,39216,22890,Eptesicus serotinus,0.439
49,0.745,9.9835,9.9954,37165,22890,Eptesicus serotinus,0.609
50,0.764,10.2805,10.2921,38275,22890,Eptesicus serotinus,0.561
51,0.778,10.4365,10.4476,37802,23750,Eptesicus serotinus,0.58
52,0.77,10.7235,10.7355,38180,22890,Eptesicus serotinus,0.54
53,0.661,10.8925,10.9026,32814,23750,Eptesicus serotinus,0.358
54,0.688,11.0165,11.0287,35499,23750,Eptesicus serotinus,0.475
55,0.709,11.1345,11.1469,35671,23750,Eptesicus serotinus,0.501
56,0.587,11.2565,11.2656,32611,24609,Eptesicus serotinus,0.271
57,0.666,11.3645,11.3727,34765,26328,Nyctalus leisleri,0.321
58,0.634,11.5015,11.5093,34639,25468,Eptesicus serotinus,0.43
59,0.538,11.6415,11.649,34399,25468,Eptesicus serotinus,0.349
60,0.72,12.2615,12.2711,36539,23750,Eptesicus serotinus,0.575
61,0.651,12.4345,12.443,33283,24609,Eptesicus serotinus,0.394
62,0.657,12.7435,12.7545,31329,24609,Nyctalus leisleri,0.382
63,0.681,13.0725,13.0826,33926,23750,Eptesicus serotinus,0.414
64,0.621,13.2365,13.2461,30810,23750,Nyctalus leisleri,0.298
65,0.659,13.5365,13.547,32228,23750,Eptesicus serotinus,0.322
66,0.515,13.6965,13.7055,31861,24609,Eptesicus serotinus,0.32
67,0.623,13.9855,13.9957,31337,23750,Eptesicus serotinus,0.292
