id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.432,0.0565,0.0607,58972,37500,Myotis daubentonii,0.416
1,0.411,0.1245,0.1283,55293,31484,Myotis daubentonii,0.4
2,0.456,0.2175,0.2221,58269,40078,Myotis daubentonii,0.435
3,0.572,0.3155,0.3197,57607,34062,Myotis daubentonii,0.549
4,0.477,0.4055,0.4099,57576,34062,Myotis daubentonii,0.459
5,0.539,0.4645,0.4686,60721,33203,Myotis daubentonii,0.514
6,0.502,0.5245,0.5295,55690,34062,Myotis daubentonii,0.473
7,0.515,0.5985,0.6034,65484,30625,Myotis daubentonii,0.492
8,0.524,0.6845,0.6891,61478,30625,Myotis daubentonii,0.505
9,0.585,0.7405,0.7458,62269,32343,Myotis daubentonii,0.562
10,0.443,0.8085,0.8129,60187,31484,Myotis daubentonii,0.428
11,0.558,0.8715,0.8773,68813,31484,Myotis daubentonii,0.517
12,0.61,0.9375,0.9434,65889,32343,Myotis daubentonii,0.571
13,0.57,1.0065,1.0121,68178,28906,Myotis daubentonii,0.536
14,0.597,1.0975,1.1031,66367,30625,Myotis daubentonii,0.574
15,0.455,1.1565,1.1621,70752,32343,Myotis daubentonii,0.409
16,0.52,1.2235,1.2297,70734,29765,Myotis daubentonii,0.496
17,0.57,1.3055,1.3113,66968,28906,Myotis daubentonii,0.545
18,0.63,1.3695,1.3759,72850,30625,Myotis daubentonii,0.599
19,0.703,1.4505,1.4563,64656,29765,Myotis daubentonii,0.678
20,0.685,1.5065,1.512,70656,29765,Myotis daubentonii,0.643
21,0.525,1.5695,1.5747,64867,29765,Myotis daubentonii,0.507
22,0.417,1.6415,1.6462,65198,32343,Myotis daubentonii,0.398
23,0.617,1.6955,1.7015,67171,31484,Myotis daubentonii,0.565
24,0.499,1.7705,1.7756,66758,32343,Myotis daubentonii,0.473
25,0.491,1.8215,1.8272,69201,32343,Myotis daubentonii,0.446
26,0.556,1.8755,1.8814,69668,28906,Myotis daubentonii,0.52
27,0.641,1.9415,1.9477,72391,29765,Myotis daubentonii,0.612
28,0.554,1.9965,2.0019,71376,29765,Myotis daubentonii,0.511
29,0.635,2.0465,2.0518,65455,28046,Myotis daubentonii,0.61
30,0.557,2.0975,2.1028,66111,31484,Myotis daubentonii,0.528
