INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND8-LOT1_20230508_195828.wav,10.377334,2023-05-08,19:58:28,19,2023-05-08,07:58:28,7,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.6,LAND8-LOT1,,,,,,,1,,,,,,k08/3wZ1KlRklEC8UGX4EQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND9-LOT1_20230615_210103.wav,3.476,2023-06-15,21:01:03,21,2023-06-15,09:01:03,9,55.55796,8.08325,SM4BAT-FS,S4U17595,2.4.6,LAND9-LOT1,,,,,,,1,,,,,,Ni3WE2K40oR22YDrDLHRdQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND8-LOT1_20230508_200613.wav,12.638667,2023-05-08,20:06:13,20,2023-05-08,08:06:13,8,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.6,LAND8-LOT1,,,,,,,1,,,,,,Zk/FpdDVaADX9xh1fyPbAw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND9-LOT1_20230605_024156.wav,6.662667,2023-06-05,02:41:56,2,2023-06-04,14:41:56,14,55.55796,8.08325,SM4BAT-FS,S4U17595,2.4.6,LAND9-LOT1,,,,,,,1,,,,,,0qzZQg3Ah28JuXFPoPynnw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND9-LOT1_20230510_015740.wav,10.049334,2023-05-10,01:57:40,1,2023-05-09,13:57:40,13,55.55796,8.08325,SM4BAT-FS,S4U17595,2.4.6,LAND9-LOT1,,,,,,,1,,,,,,luXWbfr/HAHZ8bsEzy1+uA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND8-LOT1_20230507_200529.wav,15,2023-05-07,20:05:29,20,2023-05-07,08:05:29,8,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.6,LAND8-LOT1,,,,,,,1,,,,,,8V2GndqDWQM8X2EjqpnHpw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20230427_230920.wav,10.906667,2023-04-27,23:09:20,23,2023-04-27,11:09:20,11,,,,,,,,,,,,,1,,,,,,uAohsUni5FK7cxv1NL3hFQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LAND9-LOT1_20230723_013850.wav,13.617333,2023-07-23,01:38:50,1,2023-07-22,13:38:50,13,55.55796,8.08325,SM4BAT-FS,S4U17595,2.4.6,LAND9-LOT1,,,,,,,1,,,,,,aofXdqYG3NQtQ0ikZRajtA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20230427_191535.wav,13,2023-04-27,19:15:35,19,2023-04-27,07:15:35,7,55.98287,7.53255,SM4BAT-FS,S4U02557,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,0M3dKoSmVZ2Vs5eXdzeplw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20231008_213220.wav,3.682667,2023-10-08,21:32:20,21,2023-10-08,09:32:20,9,55.98287,7.53255,SM4BAT-FS,S4U02627,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,ikFTxjzLVonEmv5ytDc+uA==
